lab,video,res_w,res_h,frame_idx,circle_idx,center_x,center_y,radius_px,diameter_px
berlin,049_2304_1760.mp4,2304,1760,508,0,1699.0808463460676,887.4268414279303,13,26
berlin,049_2304_1760.mp4,2304,1760,508,1,1801.3665401674373,959.8973436460496,13,26
berlin,049_2304_1760.mp4,2304,1760,508,2,1845.7628838686276,984.2718068545464,13,26
berlin,049_2304_1760.mp4,2304,1760,508,3,1802.454685846388,1011.0401905567346,13,26
berlin,049_2304_1760.mp4,2304,1760,508,4,1902.9993465814366,980.5721115461138,14,28
berlin,049_2304_1760.mp4,2304,1760,508,5,1801.8017984390176,908.5368675995746,13,26
berlin,049_2304_1760.mp4,2304,1760,508,6,1903.652233988807,880.4627090826455,13,26
berlin,049_2304_1760.mp4,2304,1760,508,7,1757.1878256020373,936.6110261165038,12,24
berlin,049_2304_1760.mp4,2304,1760,508,8,1874.0546715213468,1032.8031041357494,13,26
berlin,049_2304_1760.mp4,2304,1760,508,9,1845.3276255970472,1084.5988384538048,12,24
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,0,302.0843463154363,38.385543289429535,18,36
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,1,921.0,70.0,20,40
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,2,441.0,443.0,18,36
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,3,570.0,369.0,19,38
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,4,917.0,459.0,20,40
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,5,273.0,517.0,18,36
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,6,681.0,109.0,20,40
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,7,589.0,263.0,18,36
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,8,26.0,364.0,17,34
nieh,T1-D1-B3-V8-C_960_540.mp4,960,540,465,9,449.0,73.0,18,36
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,0,146.95237055452057,244.64146861860252,11,22
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,1,125.57224268615565,285.64925485792537,10,20
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,2,422.37810339661155,206.67702028636734,11,22
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,3,105.15308485399311,324.23688009922006,11,22
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,4,192.38996495321317,248.19617712503359,10,20
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,5,113.08371031755857,225.33731549475667,9,18
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,6,148.07176383328854,206.67702028636734,10,20
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,7,491.8877030478618,374.1531697816615,9,18
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,8,159.26794095832213,265.9234575730035,10,20
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,9,203.11963469803703,269.1890092344716,10,20
sharoni,Capture_2025-04-29_14-59-11-1-00.00.01.000-00.02.00.688_1224_1024_ds15fps.mp4,1224,1024,897,10,258.6340129429953,247.26316236461412,10,20
